"week","Loser","Winner","Wk","Date","Day","pts_w","pts_l","w_rank_coaches","w_rank_ap","l_rank_coaches","l_rank_ap","coach","ap"
2012-09-04,"stephen f. austin","southern methodist","2",2012-09-08,"Sat","52","0",NA,NA,NA,NA,NA,NA
2012-09-04,"syracuse","southern california","2",2012-09-08,"Sat","42","29",2,2,NA,NA,1,1
2012-09-04,"temple","maryland","2",2012-09-08,"Sat","36","27",NA,NA,NA,NA,NA,NA
2012-09-04,"tennessee-martin","northern illinois","2",2012-09-08,"Sat","35","7",NA,NA,NA,NA,NA,NA
2012-09-04,"texas a&m","florida","2",2012-09-08,"Sat","20","17",23,24,NA,NA,1,1
2012-09-04,"texas a&m-commerce","texas-san antonio","2",2012-09-08,"Sat","27","16",NA,NA,NA,NA,NA,NA
2012-09-04,"texas southern","north texas","2",2012-09-08,"Sat","34","7",NA,NA,NA,NA,NA,NA
2012-09-04,"texas state","texas tech","2",2012-09-08,"Sat","58","10",NA,NA,NA,NA,NA,NA
2012-09-04,"texas-el paso","mississippi","2",2012-09-08,"Sat","28","10",NA,NA,NA,NA,NA,NA
2012-09-04,"troy","louisiana","2",2012-09-08,"Sat","37","24",NA,NA,NA,NA,NA,NA
2012-09-04,"tulane","tulsa","2",2012-09-08,"Sat","45","10",NA,NA,NA,NA,NA,NA
2012-09-04,"utah","utah state","2",2012-09-07,"Fri","27","20",NA,NA,NA,NA,NA,NA
2012-09-04,"vanderbilt","northwestern","2",2012-09-08,"Sat","23","13",NA,NA,NA,NA,NA,NA
2012-09-04,"washington","louisiana state","2",2012-09-08,"Sat","41","3",3,3,NA,NA,1,1
2012-09-04,"weber state","brigham young","2",2012-09-08,"Sat","45","13",NA,NA,NA,NA,NA,NA
2012-09-04,"western carolina","marshall","2",2012-09-08,"Sat","52","24",NA,NA,NA,NA,NA,NA
2012-09-04,"western kentucky","alabama","2",2012-09-08,"Sat","35","0",1,1,NA,NA,1,1
2012-09-04,"wisconsin","oregon state","2",2012-09-08,"Sat","10","7",NA,NA,13,13,0,0
2012-09-04,"wyoming","toledo","2",2012-09-08,"Sat","34","31",NA,NA,NA,NA,NA,NA
2012-09-09,"alabama-birmingham","south carolina","3",2012-09-15,"Sat","49","6",9,8,NA,NA,1,1
2012-09-09,"arizona state","missouri","3",2012-09-15,"Sat","24","20",NA,NA,NA,NA,NA,NA
2012-09-09,"arkansas","alabama","3",2012-09-15,"Sat","52","0",1,1,21,NA,1,1
2012-09-09,"arkansas state","nebraska","3",2012-09-15,"Sat","42","13",24,NA,NA,NA,1,NA
2012-09-09,"army","northern illinois","3",2012-09-15,"Sat","41","40",NA,NA,NA,NA,NA,NA
2012-09-09,"bethune-cookman","miami (fl)","3",2012-09-15,"Sat","38","10",NA,NA,NA,NA,NA,NA
2012-09-09,"boston college","northwestern","3",2012-09-15,"Sat","22","13",NA,NA,NA,NA,NA,NA
2012-09-09,"bowling green state","toledo","3",2012-09-15,"Sat","27","15",NA,NA,NA,NA,NA,NA
2012-09-09,"brigham young","utah","3",2012-09-15,"Sat","24","21",NA,NA,NA,25,NA,0
2012-09-09,"california","ohio state","3",2012-09-15,"Sat","35","28",NA,12,NA,NA,NA,1
2012-09-09,"charleston southern","illinois","3",2012-09-15,"Sat","44","0",NA,NA,NA,NA,NA,NA
2012-09-09,"colorado","fresno state","3",2012-09-15,"Sat","69","14",NA,NA,NA,NA,NA,NA
2012-09-09,"colorado state","san jose state","3",2012-09-15,"Sat","40","20",NA,NA,NA,NA,NA,NA
2012-09-09,"delaware state","cincinnati","3",2012-09-15,"Sat","23","7",NA,NA,NA,NA,NA,NA
2012-09-09,"eastern michigan","purdue","3",2012-09-15,"Sat","54","16",NA,NA,NA,NA,NA,NA
2012-09-09,"florida atlantic","georgia","3",2012-09-15,"Sat","56","20",7,7,NA,NA,1,1
2012-09-09,"florida international","central florida","3",2012-09-15,"Sat","33","20",NA,NA,NA,NA,NA,NA
2012-09-09,"furman","clemson","3",2012-09-15,"Sat","41","7",11,11,NA,NA,1,1
